id;active;name;parent_category;root_category;description;meta_title;seo_meta_keywords;meta_description;url_rewritten;image_url
3;1;Baules;2;0;"Puedes encontrar buales outlet para tu moto de todos los modelos, Shad,Givi. Camben cascos moto,outlet moto, chaquetas moto,pantalones moto, guantes. ";"Maletas y Baules para moto";;"Puedes encontrar buales outlet para tu moto de todos los modelos, Shad,Givi. Camben cascos moto,outlet moto, chaquetas moto,pantalones moto, guantes. ";baules;
4;1;Bolsas;2;0;"Bolsas sobredeposito, SHAD,GIVI. Con imanes y ventosas. Para todas las motos. Bolsas y maletas outlet. Descuentos hasta 50%.Outlet moto terrassa.  ";"BOLSAS SOBREDEPOSITO ";;"Bolsas sobredeposito, SHAD,GIVI. Con imanes y ventosas. Para todas las motos. Bolsas y maletas outlet. Descuentos hasta 50%.Outlet moto terrassa.  ";bolsas;
5;1;Botas;2;0;"Oferta de botas para motos, hombre y mujer, de diferentes modelos de las mejores marcas del mercado. Outlet en botas de motos. Barcelona outlet botas ";"Botas de moto outlet baratas";;"Oferta de botas para motos, hombre y mujer, de diferentes modelos de las mejores marcas del mercado. Outlet en botas de motos. Barcelona outlet botas ";botas;
6;1;Camisetas;2;0;"Diferentes modelos y diseños de camisetas del mundo de las motos. Amplio stock. MONSTER, BULTACO, ONE, VESPA , AXO, ACERBIS. EIGHTY-EIGHT";"Camisetas moto";;"Diferentes modelos y diseños de camisetas del mundo de las motos. Amplio stock. MONSTER, BULTACO, ONE, VESPA , AXO, ACERBIS. EIGHTY-EIGHT";camisetas;
7;1;Cascos;2;0;"Amplio catálogo de casco outlet. Outlet moto cascos. Cascos de moto, de las mejores marcas, descuentos de hasta el 70%. Outlet en Barcelona, Terrassa.";"Outlet Cascos Moto baratos";;"Amplio catálogo de casco outlet. Outlet moto cascos. Cascos de moto, de las mejores marcas, descuentos de hasta el 70%. Outlet en Barcelona, Terrassa.";cascos;
8;1;Chaquetas;2;0;"Consulte nuestro catálogo de chaquetas para moto, Gran variedad de ropa moto, guantes de moto, chaquetas moto. Todo en chaquetas de moto. -50%";"Outlet Chaquetas de moto, ropa moto";;"Consulte nuestro catálogo de chaquetas para moto, Gran variedad de ropa moto, guantes de moto, chaquetas moto. Todo en chaquetas de moto. -50%";chaquetas;
9;1;Cinturones;2;0;;"Cinturones de motoristas - Cinturón moto";;;cinturones;
10;1;Gafas;2;0;"Visite nuestra colección de gafas. Disponemos de diferentes tipos de gafas y modelos para moto,enduro desde 20&euro;,  gafas custom . Progrip ,Oakley ";"Gafas de enduro- Gafas moto baratas";;"Visite nuestra colección de gafas. Disponemos de diferentes tipos de gafas y modelos para moto,enduro desde 20&euro;,  gafas custom . Progrip ,Oakley ";gafas;
13;1;Gorras;2;0;"Modelos originales de gorras. Gorras de con el nombre de motorista favorito o de tu marca de moto preferida.";"Gorra moto - Gorras motorista baratas";;"Modelos originales de gorras. Gorras de con el nombre de motorista favorito o de tu marca de moto preferida.";gorras;
14;1;Guantes;2;0;"Guantes de motos a precios muy competitivos. Diferentes marcas y modelos para proteger tus manos. Outlet en guantes y ropa de moto.   Alpinestars,";"Guantes de moto baratos";;"Guantes de motos a precios muy competitivos. Diferentes marcas y modelos para proteger tus manos. Outlet en guantes y ropa de moto.   Alpinestars,";guantes;
